"","Pop1","Pop2","Pop3","Pop4","Pop5"
"1",0,1,1,0,0.823882553375589
"2",0,1,1,0,0.948900343796675
"3",0,1,1,0,0.856821502138388
"4",0,1,1,0,0.871644209233963
"5",0,1,1,0,0.553407792834011
"6",0,1,1,0,0.546072515751913
"7",0,1,1,0,0.407856253943082
"8",0,1,1,0,0.581571686098795
"9",0,1,1,0,0.361991428968911
"10",0,1,1,0,0.76879029558394
"11",0,1,1,0,0.936659938936925
"12",0,1,1,0,0.715556237257089
"13",0,1,1,0,0.567943446811095
"14",0,1,1,0,0.430478290483324
"15",0,1,1,0,0.787974857543291
"16",0,1,1,0,0.576154786866363
"17",0,1,1,0,0.596135265007532
"18",0,1,1,0,0.862837917759791
"19",0,1,1,0,0.49183904100572
"20",0,1,1,0,0.883868060601888
"21",0,1,1,0,0.351452992805283
"22",0,1,1,0,0.745443173259866
"23",0,1,1,0,0.950482555162039
"24",0,1,1,0,0.582211970596944
"25",0,1,1,0,0.485150350086319
"26",0,1,1,0,0.571891020984682
"27",0,1,1,0,0.651839585779297
"28",0,1,1,0,0.58608408257005
"29",0,1,1,0,0.974200960792143
"30",0,1,1,0,0.656829475490267
"31",0,1,1,0,0.317180584646071
"32",0,1,1,0,0.562733208319889
"33",0,1,1,0,0.573670870867552
"34",0,1,1,0,0.538779204862501
"35",0,1,1,0,0.316547316929051
"36",0,1,1,0,0.355070153845081
"37",0,1,1,0,0.698316301541214
"38",0,1,1,0,0.881851946036801
"39",0,1,1,0,0.982867374921919
"40",0,1,1,0,0.981275110833774
"41",0,1,1,0,0.897240429302989
"42",0,1,1,0,0.739455358531708
"43",0,1,1,0,0.50205669618429
"44",0,1,1,0,0.747717705795011
"45",0,1,1,0,0.987082278977914
"46",0,1,1,0,0.969708666495952
"47",0,1,1,0,0.967393528386546
"48",0,1,1,0,0.837305269865028
"49",0,1,1,0,0.752056711334867
"50",0,1,1,0,0.590232033216982
"51",0,1,1,0,0.624840946051182
"52",0,1,1,0,0.8959408143417
"53",0,1,1,0,0.993512402577031
"54",0,1,1,0,0.701313723308116
"55",0,1,1,0,0.643443885385862
"56",0,1,1,0,0.693065929781864
"57",0,1,1,0,0.695716836014453
"58",0,1,1,0,0.694428772868266
"59",0,1,1,0,0.924140941963845
"60",0,1,1,0,0.903478453152757
"61",0,1,1,0,0.879570192841499
"62",0,1,1,0,0.610924288803161
"63",0,1,1,0,0.68833822370385
"64",0,1,1,0,0.282735833324427
"65",0,1,1,0,0.733757721718917
"66",0,1,1,0,0.818624179818586
"67",0,1,1,0,0.984887495809171
"68",0,1,1,0,0.941012106582655
"69",0,1,1,0,0.574181703480043
"70",0,1,1,0,0.927517357341152
"71",0,1,1,0,0.938077093037882
"72",0,1,1,0,0.994283387614308
"73",0,1,1,0,0.853868614574059
"74",0,1,1,0,0.582561873520843
"75",0,1,1,0,0.769225573535766
"76",0,1,1,0,0.571398027310427
"77",0,1,1,0,0.796640313318244
"78",0,1,1,0,0.796950543495089
"79",0,1,1,0,0.841350309854913
"80",0,1,1,0,0.734086201986147
"81",0,1,1,0,0.686842615135305
"82",0,1,1,0,0.510745478217892
"83",0,1,1,0,0.924023134698518
"84",0,1,1,0,0.756631306148465
"85",0,1,1,0,0.921766068547812
"86",0,1,1,0,0.797168478925116
"87",0,1,1,0,0.899797974288829
"88",0,1,1,0,0.742055562444252
"89",0,1,1,0,0.688407584569157
"90",0,1,1,0,0.454171392772504
"91",0,1,1,0,0.993316064920481
"92",0,1,1,0,0.911082772971301
"93",0,1,1,0,0.988382776118795
"94",0,1,1,0,0.773188969295618
"95",0,1,1,0,0.51817871383649
"96",0,1,1,0,0.516207240918698
"97",0,1,1,0,0.811621283366686
"98",0,1,1,0,0.942227706459136
"99",0,1,1,0,0.818038822832466
"100",0,1,1,0,0.291509443896346
"101",0,1,1,0,0.899116047002168
"102",0,1,1,0,0.625096771111104
"103",0,1,1,0,0.643792945420211
"104",0,1,1,0,0.93234654953887
"105",0,1,1,0,0.521761826921543
"106",0,1,1,0,0.637113725324756
"107",0,1,1,0,0.97127782830747
"108",0,1,1,0,0.89410171703036
"109",0,1,1,0,0.716158938404507
"110",0,1,1,0,0.873062275319719
"111",0,1,1,0,0.85073565591458
"112",0,1,1,0,0.983410383845959
"113",0,1,1,0,0.823522928535985
"114",0,1,1,0,0.871684253054213
"115",0,1,1,0,0.83973739026913
"116",0,1,1,0,0.778070609807988
"117",0,1,1,0,0.982532640077561
"118",0,1,1,0,0.784662021952375
"119",0,1,1,0,0.969372789133231
"120",0,1,1,0,0.673327279395344
"121",0,1,1,0,0.339158059588037
"122",0,1,1,0,0.416512740818229
"123",0,1,1,0,0.615796792066846
"124",0,1,1,0,0.664052296190385
"125",0,1,1,0,0.60638049674733
"126",0,1,1,0,0.691269229769459
"127",0,1,1,0,0.852340890681225
"128",0,1,1,0,0.892168239822467
"129",0,1,1,0,0.983949640412418
"130",0,1,1,0,0.728884335712293
"131",0,1,1,0,0.6420392436819
"132",0,1,1,0,0.975287882386212
"133",0,1,1,0,0.984833574627263
"134",0,1,1,0,0.762715571354649
"135",0,1,1,0,0.637630182672379
"136",0,1,1,0,0.972171612482207
"137",0,1,1,0,0.813754850114073
"138",0,1,1,0,0.739916870668476
"139",0,1,1,0,0.718957699664223
"140",0,1,1,0,0.853735165780591
"141",0,1,1,0,0.931473801503858
"142",0,1,1,0,0.991992843060247
"143",0,1,1,0,0.956056644933629
"144",0,1,1,0,0.568864642417146
"145",0,1,1,0,0.904449815693217
"146",0,1,1,0,0.685985660282938
"147",0,1,1,0,0.556917057483385
"148",0,1,1,0,0.450853827305261
"149",0,1,1,0,0.86823986735414
"150",0,1,1,0,0.870650655401954
"151",0,1,1,0,0.891451252478861
"152",0,1,1,0,0.7955132573948
"153",0,1,1,0,0.867751414581528
"154",0,1,1,0,0.903353746815062
"155",0,1,1,0,0.801407351170808
"156",0,1,1,0,0.903941299370961
"157",0,1,1,0,0.831764331765884
"158",0,1,1,0,0.912460937620567
"159",0,1,1,0,0.988855802573003
"160",0,1,1,0,0.951356904862977
"161",0,1,1,0,0.759645863758304
"162",0,1,1,0,0.314310452794395
"163",0,1,1,0,0.854587525338561
"164",0,1,1,0,0.611891738339357
"165",0,1,1,0,0.976383470956727
"166",0,1,1,0,0.605861066174792
"167",0,1,1,0,0.855387970258017
"168",0,1,1,0,0.701870701569615
"169",0,1,1,0,0.528758091723306
"170",0,1,1,0,0.648007359555375
"171",0,1,1,0,0.892958773349877
"172",0,1,1,0,0.929507000040665
"173",0,1,1,0,0.897803818811505
"174",0,1,1,0,0.996137549449543
"175",0,1,1,0,0.956404288189614
"176",0,1,1,0,0.826276018889382
"177",0,1,1,0,0.506228542928371
"178",0,1,1,0,0.900445499495179
"179",0,1,1,0,0.495831299488511
"180",0,1,1,0,0.80165683724894
"181",0,1,1,0,0.640716441629564
"182",0,1,1,0,0.658977615437025
"183",0,1,1,0,0.389349728869491
"184",0,1,1,0,0.783331325307157
"185",0,1,1,0,0.833450347890871
"186",0,1,1,0,0.329257456522033
"187",0,1,1,0,0.758727885281117
"188",0,1,1,0,0.887172537584731
"189",0,1,1,0,0.767276004649205
"190",0,1,1,0,0.853639289820112
"191",0,1,1,0,0.321036469210666
"192",0,1,1,0,0.905475419234228
"193",0,1,1,0,0.906596398714303
"194",0,1,1,0,0.817775340363855
"195",0,1,1,0,0.969084052308398
"196",0,1,1,0,0.851808729330158
"197",0,1,1,0,0.820806211824204
"198",0,1,1,0,0.821676562461951
"199",0,1,1,0,0.8583816293574
"200",0,1,1,0,0.946680627474646
"201",0,1,1,0,0.861394556460334
"202",0,1,1,0,0.89826619677444
"203",0,1,1,0,0.975582457002616
"204",0,1,1,0,0.819309870775752
"205",0,1,1,0,0.851918734627143
"206",0,1,1,0,0.938378529873762
"207",0,1,1,0,0.631533252483723
"208",0,1,1,0,0.79446162301623
"209",0,1,1,0,0.108350336987967
"210",0,1,1,0,0.837773470362543
"211",0,1,1,0,0.503355373206839
"212",0,1,1,0,0.671901903833061
"213",0,1,1,0,0.847745166675407
"214",0,1,1,0,0.898787775141357
"215",0,1,1,0,0.648046867927198
"216",0,1,1,0,0.988403931969674
"217",0,1,1,0,0.899399093028391
"218",0,1,1,0,0.509883449249818
"219",0,1,1,0,0.918889763670682
"220",0,1,1,0,0.748149113003029
"221",0,1,1,0,0.833426117951287
"222",0,1,1,0,0.86488168509527
"223",0,1,1,0,0.919543583499294
"224",0,1,1,0,0.441513938374965
"225",0,1,1,0,0.833503623617918
"226",0,1,1,0,0.669373383136234
"227",0,1,1,0,0.786459935609162
"228",0,1,1,0,0.939376758936506
"229",0,1,1,0,0.800828441594143
"230",0,1,1,0,0.983166187414649
"231",0,1,1,0,0.62477263291239
"232",0,1,1,0,0.841059166945835
"233",0,1,1,0,0.833449446134143
"234",0,1,1,0,0.539658043787301
"235",0,1,1,0,0.380971868066783
"236",0,1,1,0,0.692506974195208
"237",0,1,1,0,0.941842360029161
"238",0,1,1,0,0.7570025868358
"239",0,1,1,0,0.510762983457896
"240",0,1,1,0,0.570631070430902
"241",0,1,1,0,0.981606978968926
"242",0,1,1,0,0.593603052916395
"243",0,1,1,0,0.912833582937058
"244",0,1,1,0,0.975323253129835
"245",0,1,1,0,0.859717285955792
"246",0,1,1,0,0.737840436989839
"247",0,1,1,0,0.575512981992661
"248",0,1,1,0,0.960518364812166
"249",0,1,1,0,0.702601367062011
"250",0,1,1,0,0.547244013979333
"251",0,1,1,0,0.511568640241429
"252",0,1,1,0,0.790382284260913
"253",0,1,1,0,0.757167537088804
"254",0,1,1,0,0.57059979131039
"255",0,1,1,0,0.758888124051519
