1      346.    331. 0.00  1.00
2      263.    317. 0.00  1.00
3      164.    304. 0.00  1.00
4      164.    296. 0.00  1.00
5      162.    292. 0.00  1.00
6      185.    294. 0.00  1.00
7      184.    287. 0.00  1.00
8      334.    294. 0.00  1.00
9      255.    287. 0.00  1.00
10     253.    286. 0.00  1.00
11     267.    281. 0.00  1.00
12     293.    281. 0.00  1.00
13     270.    276. 0.00  1.00
14     255.    273. 0.00  1.00
15     246.    274. 0.00  1.00
16     237.    270. 0.00  1.00
17     171.    269. 0.00  1.00
18     147.    273. 0.00  1.00
19     160.    260. 0.00  1.00
20     172.    260. 0.00  1.00
21     198.    260. 0.00  1.00
22     266.    259. 0.00  1.00
23     258.    255. 0.00  1.00
24     287.    255. 0.00  1.00
25     295.    255. 0.00  1.00
26     287.    251. 0.00  1.00
27     272.    252. 0.00  1.00
28     289.    246. 0.00  1.00
29     273.    245. 0.00  1.00
30     265.    245. 0.00  1.00
31     265.    242. 0.00  1.00
32     283.    243. 0.00  1.00
33     286.    243. 0.00  1.00
34     287.    240. 0.00  1.00
35     283.    240. 0.00  1.00
36     280.    240. 0.00  1.00
37     266.    240. 0.00  1.00
38     198.    241. 0.00  1.00
39     337.    238. 0.00  1.00
40     186.    236. 0.00  1.00
41     178.    235. 0.00  1.00
42     249.    227. 0.00  1.00
43     264.    224. 0.00  1.00
44     246.    223. 0.00  1.00
45     243.    223. 0.00  1.00
46     244.    219. 0.00  1.00
47     239.    218. 0.00  1.00
48     170.    226. 0.00  1.00
49     193.    223. 0.00  1.00
50     184.    222. 0.00  1.00
51     186.    220. 0.00  1.00
52     182.    219. 0.00  1.00
53     308.    219. 0.00  1.00
54     337.    215. 0.00  1.00
55     382.    215. 0.00  1.00
56     331.    214. 0.00  1.00
57     318.    214. 0.00  1.00
58     317.    214. 0.00  1.00
59     315.    214. 0.00  1.00
60     310.    214. 0.00  1.00
61     308.    215. 0.00  1.00
62     304.    214. 0.00  1.00
63     301.    214. 0.00  1.00
64     290.    214. 0.00  1.00
65     310.    211. 0.00  1.00
6      310.    210. 0.00  1.00
67     304.    209. 0.00  1.00
68     305.    211. 0.00  1.00
69     283.    211. 0.00  1.00
70     278.    211. 0.00  1.00
71     267.    213. 0.00  1.00
72     274.    209. 0.00  1.00
73     268.    209. 0.00  1.00
74     265.    209. 0.00  1.00
75     283.    208. 0.00  1.00
76     275.    205. 0.00  1.00
77     281.    204. 0.00  1.00
78     287.    204. 0.00  1.00
79     282.    202. 0.00  1.00
80     288.    201. 0.00  1.00
81     272.    202. 0.00  1.00
82     268.    202. 0.00  1.00
83     272.    201. 0.00  1.00
84     267.    200. 0.00  1.00
85     270.    199. 0.00  1.00
86     270.    196. 0.00  1.00
87     295.    209. 0.00  1.00
88     302.    209. 0.00  1.00
89     305.    209. 0.00  1.00
90     309.    206. 0.00  1.00
91     301.    205. 0.00  1.00
92     304.    204. 0.00  1.00
93     301.    204. 0.00  1.00
94     319.    204. 0.00  1.00
95     315.    204. 0.00  1.00
96     312.    201. 0.00  1.00
97     319.    201. 0.00  1.00
98     315.    199. 0.00  1.00
99     321.    199. 0.00  1.00
100    318.    197. 0.00  1.00
101    301.    197. 0.00  1.00
102    308.    199. 0.00  1.00
103    308.    197. 0.00  1.00
104    308.    195. 0.00  1.00
105    312.    195. 0.00  1.00
106    299.    195. 0.00  1.00
107    295.    195. 0.00  1.00
108    246.    202. 0.00  1.00
109    253.    200. 0.00  1.00
110    244.    196. 0.00  1.00
111    249.    196. 0.00  1.00
112    253.    195. 0.00  1.00
113    117.    196. 0.00  1.00
114    154.    196. 0.00  1.00
115    259.    192. 0.00  1.00
116    252.    192. 0.00  1.00
117    243.    192. 0.00  1.00
118    249.    191. 0.00  1.00
119    256.    190. 0.00  1.00
120    245.    188. 0.00  1.00
121    249.    188. 0.00  1.00
122    242.    187. 0.00  1.00
123    246.    186. 0.00  1.00
124    245.    183. 0.00  1.00
125    249.    183. 0.00  1.00
126    248.    179. 0.00  1.00
127    256.    184. 0.00  1.00
128    263.    183. 0.00  1.00
129    233.    186. 0.00  1.00
130    235.    183. 0.00  1.00
131    289.    187. 0.00  1.00
132    169.    186. 0.00  1.00
133    167.    183. 0.00  1.00
134    111.    173. 0.00  1.00
135    304.    174. 0.00  1.00
136    244.    165. 0.00  1.00
137    246.    156. 0.00  1.00
138    277.    155. 0.00  1.00
139    273.    151. 0.00  1.00
140    281.    151. 0.00  1.00
141    286.    151. 0.00  1.00
142    308.    152. 0.00  1.00
143    312.    152. 0.00  1.00
144    238.    138. 0.00  1.00
145    241.    129. 0.00  1.00
146    295.    125. 0.00  1.00
147    309.    113. 0.00  1.00
