    1            2            3            4            5            6            7            8            9
1000000.4    1000000.3    1000000.5    1000000.3    1000000.5    1000000.3    1000000.5    1000000.3    1000000.5
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
1000000.5    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6    1000000.4    1000000.6
1000000.3    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4    1000000.2    1000000.4
