  001     2310.   4144.  1.00
  002     2298.   4070.  1.00
  003     2490.   3967.  1.00
  004     2346.   3878.  1.00
  005     2011.   3759.  1.00
  006     2310.   3804.  1.00
  007     2633.   3922.  1.00
  008     2609.   3804.  1.00
  009     2550.   3700.  1.00
  010     2609.   3715.  1.00
  011     2609.   3626.  1.00
  012     2262.   3656.  1.00
  013     2203.   3611.  1.00
  014     2286.   3581.  1.00
  015     2478.   3537.  1.00
  016     2203.   3493.  1.00
  017     1784.   3478.  1.00
  018     2107.   3419.  1.00
  019     2310.   3404.  1.00
  020     2358.   3404.  1.00
  021     2370.   3463.  1.00
  022     2023.   3389.  1.00
  023     2107.   3315.  1.00
  024     2215.   3300.  1.00
  025     2059.   3256.  1.00
  026     2011.   3196.  1.00
  027     2167.   3226.  1.00
  028     2179.   3152.  1.00
  029     2083.   3137.  1.00
  030     1987.   3107.  1.00
  031     1927.   3107.  1.00
  032     1868.   3122.  1.00
  033     1891.   3019.  1.00
  034     1987.   3019.  1.00
  035     2071.   3004.  1.00
  036     2059.   2944.  1.00
  037     1951.   2944.  1.00
  038      515.    974.  1.00
  039     2322.   3078.  1.00
  040     2502.   3004.  1.00
  041     2358.   2930.  1.00
  042     2191.   2826.  1.00
  043     2047.   2796.  1.00
  044     1951.   2781.  1.00
  045     1903.   2856.  1.00
  046     1736.   2856.  1.00
  047     2753.   3759.  1.00
  048     2478.   3419.  1.00
  049     2131.   3048.  1.00
  050     1353.   2767.  1.00
  051     1724.   2648.  1.00
  052     1903.   2619.  1.00
  053     2023.   2678.  1.00
  054     2143.   2678.  1.00
  055     2322.   2722.  1.00
  056     2430.   2737.  1.00
  057     1293.   2559.  1.00
  058     1377.   2589.  1.00
  059     1413.   2633.  1.00
  060     1532.   2589.  1.00
  061     1616.   2604.  1.00
  062     1784.   2544.  1.00
  063     1856.   2544.  1.00
  064     1975.   2574.  1.00
  065     1509.   2441.  1.00
  066     1652.   2470.  1.00
  067     1820.   2426.  1.00
  068     1497.   2367.  1.00
  069     1604.   2322.  1.00
  070     1796.   2307.  1.00
  071     2143.   2322.  1.00
  072     2143.   2204.  1.00
  073     1293.   2248.  1.00
  074     1461.   2204.  1.00
  075     1521.   2204.  1.00
  076     1664.   2189.  1.00
  077     2071.   1967.  1.00
  078     1796.   2011.  1.00
  079     1712.   1981.  1.00
  080     1616.   2041.  1.00
  081     1592.   2159.  1.00
  082     1197.   2219.  1.00
  083     1353.   2174.  1.00
  084     1365.   2100.  1.00
  085     1174.   2100.  1.00
  086     1293.   2026.  1.00
  087     1377.   2011.  1.00
  088     1401.   1922.  1.00
  089     1449.   1907.  1.00
  090     1006.   1937.  1.00
  091     1066.   1937.  1.00
  092     1102.   1922.  1.00
  093     1138.   1893.  1.00
  094     1233.   1848.  1.00
  095     1209.   1937.  1.00
  096     1030.   2056.  1.00
  097     1078.   2011.  1.00
  098     1353.   1848.  1.00
  099     1544.   1670.  1.00
  100     1736.   1656.  1.00
  101     1688.   1537.  1.00
  102     1676.   1478.  1.00
  103     1401.   1419.  1.00
  104     1042.   1522.  1.00
  105     1090.   1537.  1.00
  106     1090.   1581.  1.00
  107     1078.   1641.  1.00
  108     1126.   1730.  1.00
  109     1162.   1685.  1.00
  110      862.   1641.  1.00
  111      683.   1670.  1.00
  112      611.   1611.  1.00
  113      587.   1730.  1.00
  114      515.   1700.  1.00
  115      432.   1685.  1.00
  116      324.   1700.  1.00
  117      731.   1211.  1.00
  118      695.   1093.  1.00
  119      635.    974.  1.00
  120      563.   1004.  1.00
